Numéro de contrat,Résultat,Durée (secondes),Type de contrat
D-538398-1,True,27,Affranchigo liberté
1-304015672,True,29,Affranchigo liberté
1-322701028,True,31,Affranchigo liberté
1-347878947,True,31,Affranchigo liberté
1-271669921,True,34,Affranchigo liberté
1-10002158131,True,27,Affranchigo liberté
D-307959-2,True,27,Affranchigo liberté
D-803532-1,True,26,Affranchigo liberté
1-4567968281,True,26,Affranchigo liberté
1-953366758,True,28,Affranchigo liberté
1-5055054651,True,26,Affranchigo liberté
1-312003677,True,27,Affranchigo liberté
D-25892-1,True,25,Affranchigo liberté
1-3446997321,True,26,Affranchigo liberté
D-827784-2,True,25,Affranchigo liberté
1-1040282730,True,27,Affranchigo liberté
1-1242749174,True,28,Affranchigo liberté
1-537789101,True,28,Affranchigo liberté
1-3230200393,True,27,Affranchigo liberté
1-5941088630,True,27,Affranchigo liberté
D-827782-1,True,47,Affranchigo liberté
D-581519-1,True,47,Affranchigo liberté
D-815070-2,True,50,Affranchigo liberté
D-797181-1,True,53,Affranchigo liberté
D-946996-1,True,108,Affranchigo liberté
1-9855653183,True,30,Affranchigo liberté
1-10135012261,True,28,Affranchigo liberté
1-8431942307,True,36,Affranchigo liberté
D-701736-2,True,31,Affranchigo liberté
D-705477-1,True,28,Affranchigo liberté
D-1017167-2,True,29,Affranchigo liberté
D-730770-2,True,28,Affranchigo liberté
D-427659-2,True,31,Affranchigo liberté
D-464708-1,True,26,Affranchigo liberté
D-894567-1,True,27,Affranchigo liberté
D-825727-1,True,28,Affranchigo liberté
D-648417-1,True,27,Affranchigo liberté
D-552464-2,True,25,Affranchigo liberté
D-566511-2,True,27,Affranchigo liberté
D-61937-2,True,25,Affranchigo liberté
D-822416-2,True,26,Affranchigo liberté
D-843216-2,True,26,Affranchigo liberté
D-919989-1,True,25,Affranchigo liberté
D-651584-2,True,25,Affranchigo liberté
D-552642-1,True,27,Affranchigo liberté
D-716992-2,True,25,Affranchigo liberté
D-745788-2,True,25,Affranchigo liberté
D-644440-1,True,107,Affranchigo liberté
D-850871-2,True,25,Affranchigo liberté
D-896502-1,True,25,Affranchigo liberté
D-962737-1,True,27,Affranchigo liberté
D-676134-1,True,25,Affranchigo liberté
D-753457-1,True,25,Affranchigo liberté
D-843560-2,True,27,Affranchigo liberté
D-834268-2,True,25,Affranchigo liberté
D-504714-2,True,25,Affranchigo liberté
1-273331126,True,70,Erreur
D-938919-2,True,106,Affranchigo liberté

Nombre de contrats multisites: 0
Nombre de contrats non modifiables: 0
